
Nsteps, niter , k , lambda, cotxes ,distancia ,solucio, temps 
50000 , 10 , 5 , 0.0001, 61 , 1616.3 , false ,1375.0

50000 , 10 , 5 , 0.0026, 65 , 1711.1 , false ,913.0

50000 , 10 , 5 , 0.0051, 65 , 1749.7 , false ,734.0

50000 , 10 , 5 , 0.0076, 64 , 1686.3 , false ,755.0

50000 , 10 , 5 , 0.0101, 62 , 1661.7 , false ,724.0

50000 , 10 , 5 , 0.0126, 65 , 1680.9 , true ,697.0

50000 , 10 , 5 , 0.0151, 64 , 1710.2 , false ,698.0

50000 , 10 , 5 , 0.0176, 63 , 1678.7 , false ,597.0

50000 , 10 , 5 , 0.0201, 66 , 1697.4 , true ,517.0

50000 , 10 , 5 , 0.0226, 65 , 1698.7 , true ,466.0

50000 , 10 , 5 , 0.0251, 66 , 1704.5 , false ,403.0

50000 , 10 , 5 , 0.0276, 66 , 1713.4 , false ,371.0

50000 , 10 , 5 , 0.0301, 65 , 1673.7 , false ,333.0

50000 , 10 , 5 , 0.0326, 66 , 1691.4 , true ,310.0

50000 , 10 , 5 , 0.0351, 68 , 1723.2 , true ,284.0

50000 , 10 , 5 , 0.0376, 64 , 1729.9 , false ,274.0

50000 , 10 , 5 , 0.0401, 65 , 1728.9 , false ,256.0

50000 , 10 , 5 , 0.0426, 68 , 1766.5 , true ,235.0

50000 , 10 , 5 , 0.0451, 66 , 1714.6 , false ,221.0

50000 , 10 , 5 , 0.0476, 67 , 1727.6 , false ,210.0

75000 , 10 , 5 , 0.0001, 60 , 1581.6 , false ,1090.0

75000 , 10 , 5 , 0.0026, 62 , 1668.5 , false ,1065.0

75000 , 10 , 5 , 0.0051, 61 , 1619.4 , false ,1054.0

75000 , 10 , 5 , 0.0076, 63 , 1637.6 , true ,1086.0

75000 , 10 , 5 , 0.0101, 63 , 1664.2 , true ,1049.0

75000 , 10 , 5 , 0.0126, 64 , 1593.0 , false ,821.0

75000 , 10 , 5 , 0.0151, 63 , 1683.3 , true ,694.0

75000 , 10 , 5 , 0.0176, 66 , 1695.3 , false ,586.0

75000 , 10 , 5 , 0.0201, 65 , 1702.6 , true ,503.0

75000 , 10 , 5 , 0.0226, 65 , 1709.3 , true ,448.0

75000 , 10 , 5 , 0.0251, 67 , 1721.1 , true ,415.0

75000 , 10 , 5 , 0.0276, 64 , 1715.5 , true ,364.0

75000 , 10 , 5 , 0.0301, 67 , 1714.1 , false ,340.0

75000 , 10 , 5 , 0.0326, 66 , 1732.1 , false ,303.0

75000 , 10 , 5 , 0.0351, 68 , 1753.2 , true ,288.0

75000 , 10 , 5 , 0.0376, 69 , 1796.1 , true ,262.0

75000 , 10 , 5 , 0.0401, 66 , 1706.3 , false ,245.0

75000 , 10 , 5 , 0.0426, 69 , 1776.2 , true ,234.0

75000 , 10 , 5 , 0.0451, 64 , 1652.5 , false ,220.0

75000 , 10 , 5 , 0.0476, 68 , 1716.5 , true ,211.0

100000 , 10 , 5 , 0.0001, 62 , 1651.0 , true ,1445.0

100000 , 10 , 5 , 0.0026, 61 , 1658.6 , true ,1457.0

100000 , 10 , 5 , 0.0051, 62 , 1666.9 , false ,1447.0

