cnfg, cars, distance.km, valid, seed, people, drivers, time.ms

# cnfg 0 = ALL OF THE OPERATORS
0, 49 ,1418.4,false, 1 , 200 , 100 ,128959.0
0, 53 ,1516.5,true, 2 , 200 , 100 ,110664.0
0, 46 ,1347.1,true, 32 , 200 , 100 ,127128.0
0, 53 ,1529.0,true, 54 , 200 , 100 ,127031.0
0, 54 ,1525.9,true, 7 , 200 , 100 ,117625.0
0, 50 ,1426.9,true, 61 , 200 , 100 ,121139.0
0, 54 ,1560.5,true, 46 , 200 , 100 ,119482.0
0, 51 ,1471.9,true, 212 , 200 , 100 ,118901.0
0, 51 ,1479.3,true, 26 , 200 , 100 ,113757.0
0, 48 ,1406.1,true, 382 , 200 , 100 ,122192.0

# cnfg 1 = USING SWAP INSIDE AND MOVE
1, 100 ,1411.4,true, 26 , 200 , 100 ,35640.0
1, 100 ,1436.6,true, 382 , 200 , 100 ,36413.0
1, 100 ,1377.6,true, 1 , 200 , 100 ,37967.0
1, 100 ,1480.2,true, 2 , 200 , 100 ,36905.0
1, 100 ,1412.8,true, 32 , 200 , 100 ,36559.0
1, 100 ,1471.5,true, 54 , 200 , 100 ,37552.0
1, 100 ,1539.3,true, 7 , 200 , 100 ,33054.0
1, 100 ,1416.9,true, 61 , 200 , 100 ,32820.0
1, 100 ,1556.8,true, 46 , 200 , 100 ,35354.0
1, 100 ,1474.5,true, 212 , 200 , 100 ,34102.0


# cnfg 2 = USING MOVE AND DELETE
2, 51 ,1486.3,true, 26 , 200 , 100 ,89264.0
2, 50 ,1430.0,true, 382 , 200 , 100 ,97081.0
2, 50 ,1449.1,true, 54 , 200 , 100 ,99374.0
2, 51 ,1456.9,true, 7 , 200 , 100 ,94805.0
2, 48 ,1368.6,true, 61 , 200 , 100 ,96337.0
2, 52 ,1512.0,true, 2 , 200 , 100 ,94628.0
2, 53 ,1524.5,true, 46 , 200 , 100 ,92423.0
2, 48 ,1383.5,true, 32 , 200 , 100 ,91679.0
2, 50 ,1442.3,true, 212 , 200 , 100 ,95463.0
2, 47 ,1375.8,false, 1 , 200 , 100 ,95457.0

# cnfg 3 = USING ONLY MOVE
3, 100 , 1358.4,true, 26, 200,100,23108.0
3, 100 , 1405.0,true, 382, 200,100,20899.0
3, 100 , 1433.3,true, 54, 200,100,22635.0
3, 100 , 1412.9,true, 7, 200,100,23134.0
3, 100 , 1323.5,true, 61, 200,100,21445.0
3, 100 , 1467.4,true, 2, 200,100,22018.0
3, 100 , 1541.2,true, 46, 200,100,22010.0
3, 100 , 1430.8,true, 32, 200,100,21787.0
3, 100 , 1402.5,true, 212, 200,100,22571.0
3, 100 , 1336.0,true, 1, 200,100,21370.0
