seed, n, ndrivers, initialS, cars, distance, valid, nodesExpanded, time
0, 200, 100, 1, 98, 1919.4, true, 5, 5680.0
0, 200, 100, 2, 98, 1919.4, true, 5, 1471.0
0, 200, 100, 3, 50, 1446.0, true, 165, 135375.0
0, 200, 100, 4, 51, 1485.3, false, 179, 141925.0
1, 200, 100, 1, 96, 1893.3, true, 9, 2601.0
1, 200, 100, 2, 96, 1893.3, true, 9, 2450.0
1, 200, 100, 3, 49, 1418.4, false, 164, 132512.0
1, 200, 100, 4, 48, 1399.8, false, 185, 149855.0
2, 200, 100, 1, 94, 1907.5, true, 13, 3824.0
2, 200, 100, 2, 94, 1907.5, true, 13, 3778.0
2, 200, 100, 3, 53, 1516.5, true, 156, 123585.0
2, 200, 100, 4, 53, 1528.0, true, 179, 144600.0
3, 200, 100, 1, 94, 1989.7, true, 14, 4035.0
3, 200, 100, 2, 94, 1989.7, true, 14, 3860.0
3, 200, 100, 3, 51, 1451.5, true, 160, 123046.0
3, 200, 100, 4, 53, 1524.6, true, 178, 146022.0
4, 200, 100, 1, 94, 1851.9, true, 13, 3861.0
4, 200, 100, 2, 94, 1851.9, true, 13, 3589.0
4, 200, 100, 3, 50, 1451.8, true, 163, 126139.0
4, 200, 100, 4, 50, 1448.8, true, 189, 159269.0
5, 200, 100, 1, 94, 1907.7, true, 14, 4315.0
5, 200, 100, 2, 94, 1907.7, true, 14, 4229.0
5, 200, 100, 3, 49, 1400.8, true, 158, 128215.0
5, 200, 100, 4, 50, 1443.2, true, 184, 151997.0
6, 200, 100, 1, 90, 1906.6, true, 21, 6179.0
6, 200, 100, 2, 90, 1906.6, true, 21, 6042.0
6, 200, 100, 3, 49, 1413.3, true, 164, 127661.0
6, 200, 100, 4, 48, 1411.6, true, 183, 147996.0
7, 200, 100, 1, 95, 1984.3, true, 12, 3470.0
7, 200, 100, 2, 95, 1984.3, true, 12, 3402.0
7, 200, 100, 3, 54, 1525.9, true, 155, 119083.0
7, 200, 100, 4, 51, 1467.7, true, 185, 149628.0
8, 200, 100, 1, 94, 1880.9, true, 13, 4542.0
8, 200, 100, 2, 94, 1880.9, true, 13, 3676.0
8, 200, 100, 3, 47, 1364.0, true, 157, 117999.0
8, 200, 100, 4, 49, 1409.9, true, 186, 150397.0
9, 200, 100, 1, 99, 1953.3, true, 5, 1436.0
9, 200, 100, 2, 99, 1953.3, true, 5, 1400.0
9, 200, 100, 3, 53, 1542.2, true, 155, 116949.0
9, 200, 100, 4, 52, 1516.7, true, 183, 148799.0
