dist_exceed,car_exceed,cars,distance,solucio,time_ms
1,40,49,1398.7,true,787496
1,80,47,1375.1,false,742429
1,120,40,1273.1,false,755705
1,160,35,1179.3,false,806563
1,200,30,1181.5,false,750475
3,40,50,1422.7,true,726606
3,80,49,1401.3,true,723542
3,120,49,1398.7,true,744204
3,160,49,1399.3,true,717834
3,200,48,1393.2,false,725781
5,40,50,1422.7,true,725692
5,80,50,1422.7,true,741107
5,120,50,1441.5,false,718103
5,160,49,1404.1,true,739454
5,200,49,1398.7,true,725150
7,40,50,1422.7,true,731727
7,80,50,1422.7,true,730614
7,120,50,1422.7,true,735222
7,160,50,1441.5,false,734168
7,200,49,1400.5,true,723166
9,40,50,1422.7,true,732669
9,80,50,1422.7,true,741740
9,120,50,1422.7,true,729539
9,160,50,1422.7,true,744881
9,200,50,1441.5,false,726742
