seed,n,ndrivers,initialS,cars,distance,valid,time
0,200,100,1,62,1681.7,true,2415.0
0,200,100,2,64,1663.8,false,1636.0
0,200,100,3,40,1318.8,false,1806.0
0,200,100,4,41,1291.4,false,1810.0
1,200,100,1,63,1639.0,true,2009.0
1,200,100,2,60,1618.3,true,1811.0
1,200,100,3,41,1391.4,false,1790.0
1,200,100,4,39,1315.0,false,1832.0
2,200,100,1,65,1762.5,false,1935.0
2,200,100,2,65,1733.7,true,1786.0
2,200,100,3,41,1365.4,false,1828.0
2,200,100,4,42,1385.3,false,1814.0
3,200,100,1,63,1695.9,false,1989.0
3,200,100,2,61,1649.9,true,1742.0
3,200,100,3,41,1372.3,false,1754.0
3,200,100,4,41,1354.0,false,1834.0
4,200,100,1,64,1716.7,true,1830.0
4,200,100,2,64,1686.1,false,1793.0
4,200,100,3,42,1365.3,false,1863.0
4,200,100,4,39,1317.3,false,1859.0
5,200,100,1,63,1650.9,true,1782.0
5,200,100,2,61,1624.0,true,1769.0
5,200,100,3,42,1368.2,false,1755.0
5,200,100,4,41,1293.4,false,1786.0
6,200,100,1,65,1699.1,true,1978.0
6,200,100,2,64,1733.9,true,1762.0
6,200,100,3,42,1373.9,false,1762.0
6,200,100,4,39,1267.4,false,1839.0
7,200,100,1,65,1712.9,true,1805.0
7,200,100,2,65,1726.4,true,1788.0
7,200,100,3,41,1388.5,false,1794.0
7,200,100,4,41,1382.7,false,1806.0
8,200,100,1,61,1624.6,true,1905.0
8,200,100,2,62,1637.1,true,1789.0
8,200,100,3,39,1353.9,false,1783.0
8,200,100,4,40,1267.2,false,1833.0
9,200,100,1,64,1672.4,false,1797.0
9,200,100,2,62,1649.8,true,1770.0
9,200,100,3,41,1351.8,false,1767.0
9,200,100,4,41,1349.2,false,1816.0
